networkelementname;sourcename;cleared;clearedtime;perceivedseverity;subnetworkname;count;receivedtime;lastreceivedtime;duration;specificproblem;sequencenumber;accessid
LCON_OLT_8;0/3/9/67;true;2024-10-10 16:08:42;Warning;LAS CONDES;1;2024-10-10 16:08:00;2024-10-10T16:08:00.000Z;0 days 00:00:42;The distribute fiber is broken or the OLT cannot receive expected optical signals from the ONT(LOSi/LOBi);433843141;02-1-34FCA7Z6
JJPE_OLT_5;1/4/4/66;true;2024-10-10 16:38:34;Major;JOSE JOAQUIN PEREZ;1;2024-10-10 16:05:24;2024-10-10T16:05:24.000Z;0 days 00:33:10;Device Not Active;433839882;02-1-33IXOEVJ
DEPA_OLT_8;1/2/2/66;false;;Warning;DEPARTAMENTAL;1;2024-10-10 16:09:50;2024-10-10T16:09:50.000Z;0 days 00:00:31;Dying Gasp;433846503;02-1-34GWY71X
CHIL_OLT_8;1/3/1/66;true;2024-10-10 16:08:30;Major;CHILOE;1;2024-10-10 16:08:13;2024-10-10T16:08:13.000Z;0 days 00:00:17;Device Not Active;433843483;02-1-32R7LDQ8
IQU3_OLT_2;1/4/1/74;true;2024-10-10 16:08:30;Warning;IQUIQUE III;1;2024-10-10 15:54:29;2024-10-10T15:54:29.000Z;0 days 00:14:01;Dying Gasp;433831653;02-1-33OWKKJO
TRIN_OLT_4;1/6/16/72;false;;Warning;TRINIDAD;1;2024-10-10 16:07:58;2024-10-10T16:07:58.000Z;0 days 00:02:23;Dying Gasp;433842999;02-1-324CB85W
FONT_OLT_2;1/5/2/69;true;2024-10-10 16:08:30;Warning;PEDRO DE FONTOVA;1;2024-10-10 16:02:37;2024-10-10T16:02:37.000Z;0 days 00:05:53;Dying Gasp;433836812;02-1-33UT9UQJ
FONT_OLT_3;0/1/14/68;true;2024-10-10 16:08:29;Warning;PEDRO DE FONTOVA;1;2024-10-10 16:06:46;2024-10-10T16:06:46.000Z;0 days 00:01:43;The dying-gasp of GPON ONTi (DGi) is generated;433840986;02-1-32UX6O0Q
FONT_OLT_2;1/1/12/70;true;2024-10-10 16:08:45;Warning;PEDRO DE FONTOVA;1;2024-10-10 16:07:49;2024-10-10T16:07:49.000Z;0 days 00:00:56;Dying Gasp;433842124;02-1-34CNEF6J
GCAR_OLT_2;1/3/4/70;false;;Major;GOMEZ CARREÃ‘O;1;2024-10-10 16:09:49;2024-10-10T16:09:49.000Z;0 days 00:00:32;Device Not Active;433846483;02-1-34F7LWJX
FONT_OLT_3;0/5/8/68;true;2024-10-10 16:08:29;Warning;PEDRO DE FONTOVA;1;2024-10-10 16:07:10;2024-10-10T16:07:10.000Z;0 days 00:01:19;The dying-gasp of GPON ONTi (DGi) is generated;433841357;02-1-33I9LFPI
DEPA_OLT_9;1/1/10/72;true;2024-10-10 16:09:49;Warning;DEPARTAMENTAL;1;2024-10-10 16:08:26;2024-10-10T16:08:26.000Z;0 days 00:01:23;Dying Gasp;433844002;02-1-33CHPKHI
FONT_OLT_3;0/3/6/68;true;2024-10-10 16:08:29;Warning;PEDRO DE FONTOVA;1;2024-10-10 16:07:56;2024-10-10T16:07:56.000Z;0 days 00:00:33;The dying-gasp of GPON ONTi (DGi) is generated;433842801;02-1-32W88PWU
FONT_OLT_2;1/2/1/66;true;2024-10-10 16:08:30;Warning;PEDRO DE FONTOVA;1;2024-10-10 16:03:03;2024-10-10T16:03:03.000Z;0 days 00:05:27;Dying Gasp;433837696;02-1-33NSUJRE
FONT_OLT_3;0/6/2/67;true;2024-10-10 16:08:29;Warning;PEDRO DE FONTOVA;1;2024-10-10 16:07:11;2024-10-10T16:07:11.000Z;0 days 00:01:18;The dying-gasp of GPON ONTi (DGi) is generated;433841374;02-1-34GAB22Q
IQU3_OLT_2;1/6/14/66;true;2024-10-10 16:47:34;Major;IQUIQUE III;1;2024-10-10 16:06:14;2024-10-10T16:06:14.000Z;0 days 00:41:20;Device Not Active;433840458;02-1-34IFPNKO
FONT_OLT_3;0/4/4/71;true;2024-10-10 16:08:29;Warning;PEDRO DE FONTOVA;1;2024-10-10 16:07:48;2024-10-10T16:07:48.000Z;0 days 00:00:41;The dying-gasp of GPON ONTi (DGi) is generated;433841903;02-1-347I1XT9
CHL4_OLT_5;0/6/10/79;false;;Warning;CHILLAN IV;1;2024-10-10 16:08:53;2024-10-10T16:08:53.000Z;0 days 00:01:28;The dying-gasp of GPON ONTi (DGi) is generated;433845517;02-1-33DNAG9S
CHIL_OLT_3;0/6/0/65;true;2024-10-10 16:19:29;Warning;CHILOE;1;2024-10-10 16:08:58;2024-10-10T16:08:58.000Z;0 days 00:10:31;The distribute fiber is broken or the OLT cannot receive expected optical signals from the ONT(LOSi/LOBi);433845660;02-1-34HN0OQB
CHIL_OLT_8;1/2/15/65;true;2024-10-10 16:08:30;Major;CHILOE;1;2024-10-02 11:07:10;2024-10-02T11:07:10.000Z;8 days 05:01:20;Device Not Active;427734314;02-1-32P4S14H
CHIL_OLT_8;1/2/15/65;false;;Major;CHILOE;1;2024-10-10 16:08:44;2024-10-10T16:08:44.000Z;0 days 00:01:37;Device Not Active;433845339;02-1-32P4S14H
VPER_OLT_6;1/3/13/73;true;2024-10-10 16:22:31;Warning;VICENTE PEREZ ROSALES;1;2024-10-10 16:09:47;2024-10-10T16:09:47.000Z;0 days 00:12:44;Dying Gasp;433846158;02-1-32MMZW4L
LSAN_OLT_5;0/1/6/65;true;2024-10-10 16:08:12;Warning;LOMAS DE SAN ANDRES;1;2024-10-09 16:23:02;2024-10-09T16:23:02.000Z;0 days 23:45:10;The dying-gasp of GPON ONTi (DGi) is generated;433071877;02-1-32PAUDSH
TVOT_OLT_3;1/8/12/66;false;;Major;TEMPLO VOTIVO;1;2024-10-10 16:09:48;2024-10-10T16:09:48.000Z;0 days 00:05:34;Device Not Active;433846242;02-1-34I5IDN8
UALP_OLT_2;1/6/4/74;false;;Warning;HUALPENCILLO;1;2024-10-10 16:09:39;2024-10-10T16:09:39.000Z;0 days 00:00:42;Dying Gasp;433846059;02-1-3394L9YU
JJPE_OLT_3;1/4/7/65;true;2024-10-10 16:09:32;Major;JOSE JOAQUIN PEREZ;1;2024-10-10 16:08:44;2024-10-10T16:08:44.000Z;0 days 00:00:48;Device Not Active;433845335;02-1-31PRP1F9
QLLT_OLT_4;1/14/5/70;false;;Major;QUILLOTA;1;2024-10-10 16:09:11;2024-10-10T16:09:11.000Z;0 days 00:01:10;Device Not Active;433845936;02-1-34H4WZ4W
CHIL_OLT_7;1/12/5/70;false;;Major;CHILOE;1;2024-10-10 16:05:50;2024-10-10T16:05:50.000Z;0 days 00:04:31;Device Not Active;433840323;02-1-34FZ28PB
FONT_OLT_3;0/1/3/66;true;2024-10-10 16:08:29;Warning;PEDRO DE FONTOVA;1;2024-10-10 16:02:38;2024-10-10T16:02:38.000Z;0 days 00:05:51;The dying-gasp of GPON ONTi (DGi) is generated;433836959;02-1-3396040C
FONT_OLT_3;0/1/3/66;false;;Warning;PEDRO DE FONTOVA;1;2024-10-10 16:09:49;2024-10-10T16:09:49.000Z;0 days 00:00:32;The dying-gasp of GPON ONTi (DGi) is generated;433846439;02-1-3396040C
PAJA_OLT_6;1/10/1/66;true;2024-10-10 16:09:55;Warning;PAJARITOS;1;2024-10-10 16:07:55;2024-10-10T16:07:55.000Z;0 days 00:02:00;Dying Gasp;433842655;02-1-33QIRIU3
FONT_OLT_2;1/2/3/65;true;2024-10-10 16:08:30;Warning;PEDRO DE FONTOVA;1;2024-10-10 16:03:01;2024-10-10T16:03:01.000Z;0 days 00:05:29;Dying Gasp;433837520;02-1-33N5M4E5
CHL4_OLT_5;0/12/7/67;true;2024-10-10 16:09:50;Warning;CHILLAN IV;1;2024-10-10 16:09:11;2024-10-10T16:09:11.000Z;0 days 00:00:39;The distribute fiber is broken or the OLT cannot receive expected optical signals from the ONT(LOSi/LOBi);433845953;02-1-34ICM9Z4
PAJA_OLT_5;0/16/7/74;true;2024-10-10 16:08:36;Warning;PAJARITOS;1;2024-10-10 16:07:02;2024-10-10T16:07:02.000Z;0 days 00:01:34;The distribute fiber is broken or the OLT cannot receive expected optical signals from the ONT(LOSi/LOBi);433841354;02-1-34G5X3A2
CHI1_OLT_2;1/7/10/76;true;2024-10-10 16:09:48;Warning;CHIGUAYANTE;1;2024-10-10 16:03:40;2024-10-10T16:03:40.000Z;0 days 00:06:08;Dying Gasp;433838824;02-1-34CAEA2V
LHER_OLT_3;1/11/5/72;false;;Warning;LO HERMIDA;1;2024-10-10 16:09:55;2024-10-10T16:09:55.000Z;0 days 00:00:26;Dying Gasp;433847031;02-1-33SEKKGO
FONT_OLT_3;0/4/4/73;true;2024-10-10 16:08:29;Warning;PEDRO DE FONTOVA;1;2024-10-10 16:07:48;2024-10-10T16:07:48.000Z;0 days 00:00:41;The dying-gasp of GPON ONTi (DGi) is generated;433841904;02-1-34CK9I69
LAND_OLT_2;1/12/14/65;false;;Warning;LOS ANDES;1;2024-10-10 16:09:48;2024-10-10T16:09:48.000Z;0 days 00:00:33;Dying Gasp;433846260;02-1-33VTW89M
QUIL_OLT_3;0/11/10/66;true;2024-10-10 16:08:12;Warning;QUILICURA;1;2024-10-10 16:08:03;2024-10-10T16:08:03.000Z;0 days 00:00:09;The dying-gasp of GPON ONTi (DGi) is generated;433843330;02-1-32EBCUXX
PALT_OLT_2;0/7/2/71;true;2024-10-10 16:09:48;Warning;PUENTE ALTO;1;2024-10-10 16:08:31;2024-10-10T16:08:31.000Z;0 days 00:01:17;The distribute fiber is broken or the OLT cannot receive expected optical signals from the ONT(LOSi/LOBi);433844634;02-1-32HL237L
FONT_OLT_3;0/3/6/71;true;2024-10-10 16:08:29;Warning;PEDRO DE FONTOVA;1;2024-10-10 16:06:46;2024-10-10T16:06:46.000Z;0 days 00:01:43;The dying-gasp of GPON ONTi (DGi) is generated;433840990;02-1-3463LXT6
GMIS_OLT_4;0/12/2/70;true;2024-10-10 16:08:15;Warning;GABRIELA MISTRAL;1;2024-10-10 16:08:14;2024-10-10T16:08:14.000Z;0 days 00:00:01;The distribute fiber is broken or the OLT cannot receive expected optical signals from the ONT(LOSi/LOBi);433843581;02-1-3358XILR
FONT_OLT_3;0/3/9/68;true;2024-10-10 16:08:29;Warning;PEDRO DE FONTOVA;1;2024-10-10 16:02:33;2024-10-10T16:02:33.000Z;0 days 00:05:56;The dying-gasp of GPON ONTi (DGi) is generated;433836469;02-1-32REUA8G
FONT_OLT_3;0/3/9/68;false;;Warning;PEDRO DE FONTOVA;1;2024-10-10 16:09:50;2024-10-10T16:09:50.000Z;0 days 00:00:31;The dying-gasp of GPON ONTi (DGi) is generated;433846618;02-1-32REUA8G
FONT_OLT_3;0/5/8/70;true;2024-10-10 16:08:29;Warning;PEDRO DE FONTOVA;1;2024-10-10 16:06:45;2024-10-10T16:06:45.000Z;0 days 00:01:44;The dying-gasp of GPON ONTi (DGi) is generated;433840918;02-1-3404LTD4
SLUC_OLT_9;1/9/5/68;true;2024-10-10 16:09:49;Major;SANTA LUCIA;1;2024-10-10 15:56:35;2024-10-10T15:56:35.000Z;0 days 00:13:14;Device Not Active;433833078;02-1-34G9JW1Y
CURI_OLT_3;1/7/11/67;true;2024-10-10 16:08:26;Warning;CURICO;1;2024-10-10 16:06:32;2024-10-10T16:06:32.000Z;0 days 00:01:54;Dying Gasp;433840804;02-1-33RK4IM0
FONT_OLT_2;1/1/12/69;true;2024-10-10 16:08:44;Warning;PEDRO DE FONTOVA;1;2024-10-10 16:07:49;2024-10-10T16:07:49.000Z;0 days 00:00:55;Dying Gasp;433842102;02-1-347JTXU8
ESAL_OLT_1;0/8/3/76;true;2024-10-10 16:30:16;Warning;EL SALTO;1;2024-10-10 16:07:11;2024-10-10T16:07:11.000Z;0 days 00:23:05;The distribute fiber is broken or the OLT cannot receive expected optical signals from the ONT(LOSi/LOBi);433841405;02-1-34FVC4PZ
CHL4_OLT_5;0/5/12/70;true;2024-10-10 16:08:39;Warning;CHILLAN IV;1;2024-10-10 10:44:07;2024-10-10T10:44:07.000Z;0 days 05:24:32;The dying-gasp of GPON ONTi (DGi) is generated;433619109;02-1-32LVURQV
JJPE_OLT_3;1/5/11/71;true;2024-10-10 16:09:49;Major;JOSE JOAQUIN PEREZ;1;2024-10-10 16:08:45;2024-10-10T16:08:45.000Z;0 days 00:01:04;Device Not Active;433845373;02-1-325LZHUV
FONT_OLT_3;0/1/14/70;true;2024-10-10 16:08:29;Warning;PEDRO DE FONTOVA;1;2024-10-10 16:07:21;2024-10-10T16:07:21.000Z;0 days 00:01:08;The dying-gasp of GPON ONTi (DGi) is generated;433841477;02-1-33HQ1K1N
CHIL_OLT_8;1/3/9/68;true;2024-10-10 16:08:30;Major;CHILOE;1;2024-10-10 16:08:13;2024-10-10T16:08:13.000Z;0 days 00:00:17;Device Not Active;433843471;02-1-332II1A8
FONT_OLT_3;0/4/2/66;true;2024-10-10 16:08:29;Warning;PEDRO DE FONTOVA;1;2024-10-10 16:07:51;2024-10-10T16:07:51.000Z;0 days 00:00:38;The dying-gasp of GPON ONTi (DGi) is generated;433842318;02-1-33PFEWA2
INDE_OLT_8;0/3/0/75;false;;Warning;INDEPENDENCIA;1;2024-10-10 16:08:28;2024-10-10T16:08:28.000Z;0 days 00:01:53;The dying-gasp of GPON ONTi (DGi) is generated;433844305;02-1-34D871AM
JJPE_OLT_4;1/7/3/72;true;2024-10-10 16:14:36;Warning;JOSE JOAQUIN PEREZ;1;2024-10-10 16:08:14;2024-10-10T16:08:14.000Z;0 days 00:06:22;Dying Gasp;433843655;02-1-33MX9GYS
FONT_OLT_2;1/5/14/67;true;2024-10-10 16:08:29;Warning;PEDRO DE FONTOVA;1;2024-10-10 16:07:49;2024-10-10T16:07:49.000Z;0 days 00:00:40;Dying Gasp;433842062;02-1-33E33903
TRIN_OLT_4;1/5/14/76;true;2024-10-10 16:08:34;Warning;TRINIDAD;1;2024-10-10 11:25:54;2024-10-10T11:25:54.000Z;0 days 04:42:40;Dying Gasp;433648183;02-1-33C8OCC9
FONT_OLT_2;1/3/3/72;true;2024-10-10 16:08:30;Warning;PEDRO DE FONTOVA;1;2024-10-10 16:02:37;2024-10-10T16:02:37.000Z;0 days 00:05:53;Dying Gasp;433836870;02-1-33FE2ILT
FONT_OLT_3;0/1/13/68;true;2024-10-10 16:08:29;Warning;PEDRO DE FONTOVA;1;2024-10-10 16:06:44;2024-10-10T16:06:44.000Z;0 days 00:01:45;The dying-gasp of GPON ONTi (DGi) is generated;433840914;02-1-32TMND41
GMIS_OLT_4;0/12/2/73;true;2024-10-10 16:08:15;Warning;GABRIELA MISTRAL;1;2024-10-10 16:08:14;2024-10-10T16:08:14.000Z;0 days 00:00:01;The distribute fiber is broken or the OLT cannot receive expected optical signals from the ONT(LOSi/LOBi);433843585;02-1-33RCSXF3
FONT_OLT_2;1/5/2/71;true;2024-10-10 16:08:44;Warning;PEDRO DE FONTOVA;1;2024-10-10 16:02:37;2024-10-10T16:02:37.000Z;0 days 00:06:07;Dying Gasp;433836798;02-1-33WITZJK
FONT_OLT_3;0/2/12/70;true;2024-10-10 16:08:29;Warning;PEDRO DE FONTOVA;1;2024-10-10 16:07:11;2024-10-10T16:07:11.000Z;0 days 00:01:18;The dying-gasp of GPON ONTi (DGi) is generated;433841409;02-1-341O6IDR
FONT_OLT_3;0/4/4/69;true;2024-10-10 16:08:29;Warning;PEDRO DE FONTOVA;1;2024-10-10 16:07:48;2024-10-10T16:07:48.000Z;0 days 00:00:41;The dying-gasp of GPON ONTi (DGi) is generated;433841895;02-1-33V8Z3PI
INDE_OLT_8;0/3/8/67;true;2024-10-10 16:09:53;Warning;INDEPENDENCIA;1;2024-10-10 16:09:50;2024-10-10T16:09:50.000Z;0 days 00:00:03;The distribute fiber is broken or the OLT cannot receive expected optical signals from the ONT(LOSi/LOBi);433846552;02-1-3394FRQD
INDE_OLT_8;0/3/8/67;true;2024-10-10 16:05:14;Warning;INDEPENDENCIA;1;2024-10-02 17:14:57;2024-10-02T17:14:57.000Z;7 days 22:50:17;The distribute fiber is broken or the OLT cannot receive expected optical signals from the ONT(LOSi/LOBi);427959863;02-1-3394FRQD
PAJA_OLT_5;0/17/8/76;false;;Warning;PAJARITOS;1;2024-10-10 16:09:13;2024-10-10T16:09:13.000Z;0 days 00:01:08;The distribute fiber is broken or the OLT cannot receive expected optical signals from the ONT(LOSi/LOBi);433845971;02-1-345CT1EC
FONT_OLT_2;1/1/14/66;true;2024-10-10 16:08:45;Warning;PEDRO DE FONTOVA;1;2024-10-10 16:03:40;2024-10-10T16:03:40.000Z;0 days 00:05:05;Dying Gasp;433838765;02-1-33SA9URL
CHI1_OLT_3;1/8/4/71;true;2024-10-10 16:09:55;Warning;CHIGUAYANTE;1;2024-10-10 16:07:55;2024-10-10T16:07:55.000Z;0 days 00:02:00;Dying Gasp;433842685;02-1-32LWSH97
PVAL_OLT_18;0/8/8/67;false;;Warning;PEDRO DE VALDIVIA;1;2024-10-10 16:06:17;2024-10-10T16:06:17.000Z;0 days 00:04:04;The dying-gasp of GPON ONTi (DGi) is generated;433840652;02-1-32MOJQO5
FONT_OLT_3;0/1/4/68;true;2024-10-10 16:08:29;Warning;PEDRO DE FONTOVA;1;2024-10-10 16:02:32;2024-10-10T16:02:32.000Z;0 days 00:05:57;The dying-gasp of GPON ONTi (DGi) is generated;433836408;02-1-33UTZKVI
FONT_OLT_3;0/1/4/68;false;;Warning;PEDRO DE FONTOVA;1;2024-10-10 16:09:54;2024-10-10T16:09:54.000Z;0 days 00:00:27;The dying-gasp of GPON ONTi (DGi) is generated;433846951;02-1-33UTZKVI
SFRA_OLT_11;0/1/3/65;false;;Warning;SAN FRANCISCO LAS CONDES;1;2024-10-10 16:08:42;2024-10-10T16:08:42.000Z;0 days 00:01:39;The dying-gasp of GPON ONTi (DGi) is generated;433845280;02-1-33FN6VHV
FONT_OLT_2;1/1/2/70;true;2024-10-10 16:08:45;Warning;PEDRO DE FONTOVA;1;2024-10-10 16:03:12;2024-10-10T16:03:12.000Z;0 days 00:05:33;Dying Gasp;433837735;02-1-349YNYAV
SBER_OLT_3;1/14/2/81;false;;Major;SAN BERNARDO;1;2024-10-10 16:08:54;2024-10-10T16:08:54.000Z;0 days 00:01:27;Device Not Active;433845573;02-1-34BJ153S
LREJ_OLT_4;1/11/10/77;true;2024-10-10 16:09:11;Major;LAS REJAS;1;2024-10-10 16:08:28;2024-10-10T16:08:28.000Z;0 days 00:00:43;Device Not Active;433844383;02-1-342P8SDS
YUNG_OLT_5;0/3/0/69;true;2024-10-10 16:08:33;Warning;YUNGAY;1;2024-10-10 16:07:36;2024-10-10T16:07:36.000Z;0 days 00:00:57;The distribute fiber is broken or the OLT cannot receive expected optical signals from the ONT(LOSi/LOBi);433841536;02-1-33S9Z0WR
FONT_OLT_3;0/1/12/68;true;2024-10-10 16:08:29;Warning;PEDRO DE FONTOVA;1;2024-10-10 16:07:11;2024-10-10T16:07:11.000Z;0 days 00:01:18;The dying-gasp of GPON ONTi (DGi) is generated;433841412;02-1-32PV13Y7
FONT_OLT_3;0/3/6/70;true;2024-10-10 16:08:29;Warning;PEDRO DE FONTOVA;1;2024-10-10 16:06:44;2024-10-10T16:06:44.000Z;0 days 00:01:45;The dying-gasp of GPON ONTi (DGi) is generated;433840913;02-1-33YA6N0X
PAJA_OLT_2;1/1/13/68;true;2024-10-10 16:13:16;Major;PAJARITOS;1;2024-10-10 16:09:48;2024-10-10T16:09:48.000Z;0 days 00:03:28;Device Not Active;433846301;02-1-34FB4D2T
CAL3_OLT_5;0/1/15/65;true;2024-10-10 16:16:36;Warning;CALAMA III;1;2024-10-10 16:06:14;2024-10-10T16:06:14.000Z;0 days 00:10:22;The distribute fiber is broken or the OLT cannot receive expected optical signals from the ONT(LOSi/LOBi);433840501;02-1-334GDJZV
